,bbl,RS_Unit_Count,legacy_properties_all_rs,legacy_properties_0_35_pct_rs,legacy_properties_35_89_pct_rs,legacy_properties_90_pct_plus_rs,programmatic_properties,govt_subsidized_income_restricted_rs,mixed_income_rs
437,1002767502,10.0,0,0,0,0,0,0,0
438,1002770001,9.0,1,0,0,1,0,0,0
439,1002770002,23.0,1,0,1,0,0,0,0
440,1002770004,20.0,0,0,0,0,1,1,0
441,1002770010,9.0,1,0,1,0,0,0,0
443,1002770016,2.0,1,1,0,0,0,0,0
444,1002770017,5.0,1,1,0,0,0,0,0
445,1002770018,4.0,1,1,0,0,0,0,0
446,1002770020,8.0,1,0,1,0,0,0,0
447,1002770021,16.0,1,0,0,1,0,0,0
448,1002770022,20.0,1,0,0,1,0,0,0
449,1002770029,10.0,1,0,1,0,0,0,0
450,1002770030,6.0,1,0,1,0,0,0,0
451,1002770031,1.0,1,1,0,0,0,0,0
452,1002770032,13.0,1,0,1,0,0,0,0
453,1002770036,16.0,1,0,1,0,0,0,0
454,1002770042,18.0,1,0,1,0,0,0,0
455,1002770043,14.0,0,0,0,0,1,1,0
456,1002770044,20.0,0,0,0,0,1,1,0
457,1002770045,20.0,1,0,0,1,0,0,0
458,1002770049,20.0,1,0,0,1,0,0,0
459,1002770052,12.0,1,0,1,0,0,0,0
460,1002770053,9.0,1,0,1,0,0,0,0
461,1002770054,16.0,1,0,1,0,0,0,0
462,1002790002,2.0,1,1,0,0,0,0,0
463,1002790015,8.0,1,0,0,1,0,0,0
464,1002790021,14.0,1,0,1,0,0,0,0
465,1002790022,20.0,1,0,0,1,0,0,0
466,1002790023,27.0,1,0,0,1,0,0,0
467,1002790029,20.0,1,0,0,1,0,0,0
468,1002790053,13.0,1,0,1,0,0,0,0
469,1002790054,16.0,1,0,0,1,0,0,0
470,1002800001,11.0,1,0,1,0,0,0,0
471,1002800002,12.0,1,0,1,0,0,0,0
472,1002800003,16.0,1,0,0,1,0,0,0
473,1002800004,7.0,1,0,1,0,0,0,0
474,1002800005,2.0,1,1,0,0,0,0,0
475,1002800006,6.0,1,1,0,0,0,0,0
476,1002800007,5.0,1,1,0,0,0,0,0
477,1002800008,21.0,1,0,0,1,0,0,0
478,1002800009,18.0,1,0,0,1,0,0,0
479,1002800010,8.0,1,0,1,0,0,0,0
480,1002800011,18.0,1,0,0,1,0,0,0
481,1002800013,16.0,1,0,0,1,0,0,0
482,1002800025,15.0,1,0,1,0,0,0,0
483,1002800030,6.0,1,0,0,1,0,0,0
484,1002800046,12.0,1,0,0,1,0,0,0
485,1002800052,22.0,1,0,1,0,0,0,0
488,1002810010,16.0,1,0,1,0,0,0,0
489,1002810011,2.0,1,1,0,0,0,0,0
490,1002810017,16.0,1,0,0,1,0,0,0
491,1002810025,4.0,1,0,1,0,0,0,0
492,1002810026,4.0,1,0,1,0,0,0,0
493,1002810028,7.0,1,0,0,1,0,0,0
494,1002810030,22.0,1,0,0,1,0,0,0
495,1002810031,13.0,1,0,0,1,0,0,0
496,1002810055,14.0,1,0,1,0,0,0,0
497,1002810059,7.0,1,0,1,0,0,0,0
498,1002820007,15.0,1,0,1,0,0,0,0
500,1002820012,11.0,1,0,1,0,0,0,0
501,1002820027,20.0,1,0,0,1,0,0,0
502,1002820028,19.0,1,0,0,1,0,0,0
503,1002820030,15.0,1,0,0,1,0,0,0
504,1002820053,1.0,1,1,0,0,0,0,0
505,1002820054,10.0,1,0,0,1,0,0,0
506,1002820055,9.0,1,0,0,1,0,0,0
507,1002830003,19.0,1,0,0,1,0,0,0
508,1002830004,20.0,1,0,0,1,0,0,0
509,1002830005,8.0,1,1,0,0,0,0,0
510,1002830006,6.0,1,0,1,0,0,0,0
511,1002830007,12.0,1,0,1,0,0,0,0
512,1002830008,19.0,1,0,0,1,0,0,0
513,1002830009,24.0,1,0,0,1,0,0,0
514,1002830010,12.0,1,0,0,1,0,0,0
